experiment	seed	band	n	MAE	RMSE	bias	r
v4a_ref_gated9	mean	0.9-0.95	689.0	0.7639	1.0437	-0.4233	0.8067
v4a_ref_gated9	mean	0.95-0.99	72.0	1.0859	1.4673	-0.8074	0.2231
v4a_ref_gated9	mean	all	2053.0	0.7734	1.1086	0.0267	0.9404
v4b_ref_gated9+gate	mean	0.8-0.85	463.0	0.8081	1.2607	0.314	0.4082
v4b_ref_gated9+gate	mean	0.85-0.9	829.0	0.7357	1.0318	0.3023	0.7214
v4b_ref_gated9+gate	mean	0.9-0.95	689.0	0.7624	1.0421	-0.4217	0.807
v4b_ref_gated9+gate	mean	0.95-0.99	72.0	1.0878	1.472	-0.8168	0.2234
v4b_ref_gated9+gate	mean	all	2053.0	0.7733	1.1085	0.0227	0.9403
v5a_gated9	mean	0.8-0.85	463.0	0.825	1.3452	0.3335	0.4016
v5a_gated9	mean	0.85-0.9	829.0	0.7657	1.0872	0.3211	0.6992
v5a_gated9	mean	0.9-0.95	689.0	0.6441	0.9072	-0.1183	0.833
v5a_gated9	mean	0.95-0.99	539.0	0.7119	1.0412	-0.3926	0.4813
v5a_gated9	mean	all	2520.0	0.7318	1.0855	0.0506	0.9625
v5b_gated9+gate	mean	0.8-0.85	463.0	0.823	1.3419	0.3131	0.3998
v5b_gated9+gate	mean	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_gated9+gate	mean	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_gated9+gate	mean	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_gated9+gate	mean	all	2520.0	0.7319	1.0858	0.0448	0.9624
