biosample	Extraction Date	Extraction Method	Laboratory Host	Passage Date	collected_by	collection_date	culture_collection	description	geo_loc_name	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	identification method	isolate	isolate_name_alias	isolation_source	lat_lon	note	passage_history	pathotype	ref_biomaterial	sample_type	serotype	serovar	strain	sub_species	subsrc_note	type-material
SAMN16357512					ARMADA	missing	FDA:FDAARGOS_1370		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1370			
SAMN16357419					ARMADA	missing	FDA:FDAARGOS_1277		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1277			
SAMN16357443					ARMADA	missing	FDA:FDAARGOS_1301		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1301			
SAMN16357440					ARMADA	missing	FDA:FDAARGOS_1298		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1298			
SAMN16357434					ARMADA	missing	FDA:FDAARGOS_1292		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1292			
SAMN16357423					ARMADA	missing	FDA:FDAARGOS_1281		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1281			
SAMN16357439					ARMADA	missing	FDA:FDAARGOS_1297		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1297			
SAMN16357427					ARMADA	missing	FDA:FDAARGOS_1285		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1285			
SAMN16357418					ARMADA	missing	FDA:FDAARGOS_1276		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1276			
SAMN16357425					ARMADA	missing	FDA:FDAARGOS_1283		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1283			
SAMN16357426					ARMADA	missing	FDA:FDAARGOS_1284		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1284			
SAMN16357500					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1358		USA:MD	missing	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1358			
SAMN16357380					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1238		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1238			
SAMN16357381					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1239		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1239			
SAMN16357411					ARMADA	missing	FDA:FDAARGOS_1269		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1269			
SAMN16357494					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1352		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1352			
SAMN16357382					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1240		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1240			
SAMN16357490					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1348		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1348			
SAMN16357488					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1346		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1346			
SAMN16357491					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1349		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1349			
SAMN16357489					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1347		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1347			
SAMN16357498					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1356		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1356			
SAMN16357495					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1353		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1353			
SAMN16357497					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1355		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1355			
SAMN16357496					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1354		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1354			
SAMN16357493					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1351		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1351			
SAMN16357492					FDA-Stanford Microbiome Effort	missing	FDA:FDAARGOS_1350		USA:MD	not applicable	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1350			
