experiment	seed	band	n	MAE	RMSE	bias	r
v4b_gated9+gate	4	0.9-0.95	689.0	0.7069	0.9782	-0.1982	0.814
v4b_gated9+gate	4	0.95-0.99	539.0	0.8638	1.2713	-0.6088	0.4152
v4b_gated9+gate	4	all	2520.0	0.8492	1.2669	0.0424	0.9486
raw_gated	mean	0.8-0.85	463.0	3.3686	4.0703	3.1842	0.2465
raw_gated	mean	0.85-0.9	829.0	3.4897	4.1266	3.3895	0.2864
raw_gated	mean	0.9-0.95	689.0	1.8175	2.2355	1.6533	0.6141
raw_gated	mean	0.95-0.99	539.0	0.8174	1.0711	0.6375	0.5667
raw_gated	mean	all	2520.0	2.4387	3.2027	2.2884	0.8273
v3a_ref_gated9	mean	0.8-0.85	463.0	0.9728	1.3826	0.6046	0.3512
v3a_ref_gated9	mean	0.85-0.9	829.0	0.8671	1.3255	0.3669	0.6219
v3a_ref_gated9	mean	0.9-0.95	689.0	0.9533	1.284	-0.6917	0.7496
v3a_ref_gated9	mean	0.95-0.99	72.0	1.326	1.797	-1.1186	0.1524
v3a_ref_gated9	mean	all	2053.0	0.936	1.3443	0.0131	0.9112
v3b_ref_gated9+gate	mean	0.8-0.85	463.0	0.9614	1.3796	0.5939	0.3466
v3b_ref_gated9+gate	mean	0.85-0.9	829.0	0.8658	1.3242	0.3713	0.623
v3b_ref_gated9+gate	mean	0.9-0.95	689.0	0.9526	1.2832	-0.691	0.7497
v3b_ref_gated9+gate	mean	0.95-0.99	72.0	1.3278	1.8003	-1.1251	0.1525
v3b_ref_gated9+gate	mean	all	2053.0	0.9327	1.343	0.0125	0.9113
v4a_gated9	mean	0.8-0.85	463.0	0.9457	1.3703	0.522	0.3725
v4a_gated9	mean	0.85-0.9	829.0	0.9117	1.4113	0.4035	0.6001
v4a_gated9	mean	0.9-0.95	689.0	0.708	0.9797	-0.1984	0.8134
v4a_gated9	mean	0.95-0.99	539.0	0.8621	1.2677	-0.6011	0.4166
v4a_gated9	mean	all	2520.0	0.8516	1.2674	0.0458	0.9486
v4b_gated9+gate	mean	0.8-0.85	463.0	0.9354	1.3684	0.5146	0.369
v4b_gated9+gate	mean	0.85-0.9	829.0	0.9108	1.4108	0.4037	0.6004
v4b_gated9+gate	mean	0.9-0.95	689.0	0.7075	0.9789	-0.1973	0.8136
v4b_gated9+gate	mean	0.95-0.99	539.0	0.8638	1.2713	-0.6088	0.4152
v4b_gated9+gate	mean	all	2520.0	0.8497	1.2675	0.0432	0.9485
